CL=F
BZ=F
NG=F
RB=F
HO=F
QM=F
QG=F
GC=F
SI=F
HG=F
PL=F
PA=F
ALI=F
ZNC=F
LBS=F
ZC=F
ZW=F
ZO=F
ZS=F
ZM=F
ZL=F
ZR=F
KC=F
CT=F
SB=F
OJ=F
CC=F
LE=F
GF=F
HE=F
