BTC-USD
ETH-USD
BNB-USD
XRP-USD
ADA-USD
SOL-USD
DOGE-USD
DOT-USD
MATIC-USD
AVAX-USD
TRX-USD
LTC-USD
UNI-USD
LINK-USD
ATOM-USD
XLM-USD
ETC-USD
ICP-USD
NEAR-USD
XMR-USD
ALGO-USD
VET-USD
FIL-USD
APE-USD
FLOW-USD
SAND-USD
MANA-USD
AAVE-USD
EGLD-USD
XTZ-USD
THETA-USD
AXS-USD
GRT-USD
EOS-USD
RUNE-USD
KSM-USD
ZEC-USD
MIOTA-USD
CHZ-USD
CAKE-USD
CRV-USD
MKR-USD
SNX-USD
COMP-USD
LRC-USD
1INCH-USD
ENJ-USD
BAT-USD
KAVA-USD
CELR-USD
OMG-USD
DASH-USD
QTUM-USD
BTG-USD
NEO-USD
BCH-USD
FTM-USD
AR-USD
KLAY-USD
STX-USD
WAVES-USD
ZIL-USD
HNT-USD
DCR-USD
ICX-USD
RVN-USD
ANKR-USD
CEL-USD
SRM-USD
REN-USD
CVC-USD
REP-USD
NANO-USD
DGB-USD
SUSHI-USD
BAL-USD
YFI-USD
OCEAN-USD
UMA-USD
FTT-USD
BNX-USD
IMX-USD
FLUX-USD
GALA-USD
ILV-USD
LUNA1-USD
USTC-USD
UST-USD
HBAR-USD
KSM-USD
ROSE-USD
DYDX-USD
OP-USD
GMX-USD
APT-USD
MINA-USD
GLMR-USD
NMR-USD
MTL-USD
COTI-USD
PEPE-USD

